,x,r,theta,eps,regime,mach,T,P,n_chan,w_chan,d_chan,t_wall,r_cool,r_outer,fin_thick,A_chan,D_hyd,mdot_chan,T_c_i,dT_c,T_c_e,P_c_i,dP_c,P_c_e,dx,s,A_w_segment,T_aw,R_soot,rho_c,cp_c,cond_c,visc_c,u_c,t_transit,Re_c,Pr_c,f_darcy,Nu_c,h_c,T_wg,T_wc,q_tot
20,23.413,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,511.914499860157,1.0348042782133646,512.9493041383704,25.39977469732456,0.00960097969084277,25.39017371763372,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,645.8179300738575,2911.3301450865647,0.07642026815944,0.00012774658471183256,10.02680058803775,0.00011678700396186544,43448.660144303525,4.866673357223377,0.021647463099465705,249.93584976168492,22283.52543835305,662.7719183224012,650.2728191562811,3083111.1276429556
21,24.584,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,510.8778200625742,1.0366797975827882,511.914499860157,25.4093848821059,0.009610184781341229,25.39977469732456,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,646.5693104077466,2906.782645486488,0.07660292865174256,0.00012891688785404403,10.01514840991484,0.0001169228804278854,43054.23467888798,4.89189354662798,0.021693427950032748,248.55080288676177,22213.005989845933,662.2119456718228,649.7097516405147,3083874.527722674
22,25.754,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,509.8401455669226,1.0376744956515582,510.8778200625742,25.418996142838317,0.009611260732415845,25.4093848821059,1.1700000000000017,1.1700000000000017,371.08027468489956,3325.0020179356225,0.000526667590690191,647.3214116938223,2902.230782543863,0.07678576440745759,0.00013010098044583811,10.003512141033163,0.0001169589223769527,42662.383670894546,4.917357705595452,0.02173965879051435,247.16968357359409,22142.29860680581,661.6549787936672,649.1497062599585,3084633.8916481375
23,26.925,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,508.79969322912444,1.040452337798183,509.8401455669226,25.428625011510526,0.009628868672207462,25.418996142838317,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,648.0755263459968,2897.6667343188774,0.07696908961229201,0.0001313011279037316,9.9918718386732,0.00011719525819653568,42272.43156516823,4.943113039554912,0.021786237981896866,245.79012231511552,22071.282275336398,661.1001126720976,648.5917729998936,3085390.452476988
24,28.096,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,507.75734217292825,1.0423510561961975,508.79969322912444,25.43826336893386,0.009638357423335575,25.428625011510526,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,648.8310171797725,2893.094357175767,0.07715274936675126,0.00013251656799126963,9.980237426343175,0.00011733187798810327,41884.70942067835,4.969141582568913,0.021833129417114842,244.41329544824492,22000.017346556862,660.5478737210913,648.0364811872713,3086143.491675608
25,29.266,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,506.7139779755288,1.043364197399429,507.75734217292825,25.44790306438509,0.009639695451232545,25.43826336893386,1.1699999999999982,1.1699999999999982,371.0802746848984,3325.0020179356225,0.000526667590690191,649.5872423332266,2888.5175357874546,0.07733658763425896,0.00013374649099968052,9.968618807492016,0.00011736831577115507,41499.54067769264,4.995424499845376,0.02188029596914587,243.04037009587364,21928.565027345976,659.9987802843953,647.4843520351137,3086892.3014894263
26,30.437,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,505.6678076194653,1.0461703560634958,506.7139779755288,25.45756068171205,0.009657617326959978,25.44790306438509,1.171000000000003,1.171000000000003,371.3974373128358,3325.0020179356225,0.000526667590690191,650.3455013764496,2883.928404903547,0.0775209203401885,0.00013499325521482657,9.956996069511627,0.00011760575095390577,41116.26121547354,5.022010593733949,0.021927821743474563,241.6689911326434,21856.803045335266,659.4519435361618,646.9344918071442,3087638.0931576756
27,31.608,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,504.61971496358865,1.0480926558766386,505.6678076194653,25.46722808047599,0.009667398763941825,25.45756068171205,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,651.1051536929658,2879.330841659278,0.07770559175073158,0.00013625607428876719,9.94537912087154,0.00011774312329054597,40735.19637720449,5.048881402532675,0.02197566998227066,240.30032826167962,21784.792406380344,658.90788600614,646.3874259254685,3088380.1532322844
28,32.778,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,503.5705904005524,1.0491245630362194,504.61971496358865,25.47689708774464,0.009669007268647334,25.46722808047599,1.1699999999999982,1.1699999999999982,371.0802746848984,3325.0020179356225,0.000526667590690191,651.8655539306317,2874.7287518510634,0.07789044498083962,0.000137534112137292,9.93377785033103,0.00011777996424200381,40356.663939483224,5.076017560544686,0.022023802875412116,238.93554203415883,21712.5949725752,658.3671216941068,645.8436712359471,3089117.779679376
29,33.949,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,502.5186309172798,1.0519594832726549,503.5705904005524,25.486584340866717,0.00968725312207596,25.47689708774464,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,652.6280089043103,2870.1142263817396,0.0780757977170895,0.00013882982485318582,9.9221723748901,0.0001180185100355072,39980.01113672459,5.103469538678797,0.022072306333170325,237.57229161135297,21640.08721353896,657.8287789244387,645.3023512463521,3089852.1605946813
30,35.119,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,501.46562683758094,1.0530040796988236,502.5186309172798,25.496273387641498,0.009689046774782219,25.486584340866717,1.1700000000000017,1.1700000000000017,371.08027468489956,3325.0020179356225,0.000526667590690191,653.3912209962555,2865.4951186857325,0.07826133450872264,0.00014014127187824817,9.910582500873527,0.000118055623864377,39605.87676528284,5.131194516607338,0.02212110104206072,236.21290190361736,21567.393086347598,657.2938325115875,644.7644461659232,3090581.9652638626
31,36.29,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,500.40976841679253,1.0558584207884352,501.46562683758094,25.505980902019406,0.009707514377906474,25.496273387641498,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,654.1565019003508,2860.863490137102,0.07844737422840535,0.00014147097740130042,9.898988364738907,0.00011829491629379093,39233.61558459746,5.159244119286804,0.02217027415025621,234.85504154535275,21494.388222458638,656.7614227740726,644.2290915622619,3091308.3655799506
32,37.461,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,499.3519475375644,1.0578208792281552,500.40976841679253,25.515698706777727,0.00971780475831943,25.505980902019406,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,654.9232051845111,2856.22325306828,0.07863375972855524,0.0001428181129204855,9.88739985049933,0.00011843356369782718,38863.543497666215,5.187599022238904,0.02221978777508511,233.49986928496483,21421.134721003476,656.2320653177384,643.6968058966786,3092030.65719475
33,38.631,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,498.293062753327,1.0588847842374212,499.3519475375644,25.525418590534944,0.00971988375721874,25.515698706777727,1.1700000000000017,1.1700000000000017,371.08027468489956,3325.0020179356225,0.000526667590690191,655.6906795817024,2851.578349073744,0.07882033268621438,0.00014418179612969722,9.87582682303935,0.00011847109320209066,38495.96892763823,5.216238934321552,0.022269602924599303,232.14853481383417,21347.695537750904,655.7062663957493,643.1680982269204,3092748.1483111335
34,39.802,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,497.2312941160537,1.061768637273288,498.293062753327,25.53515728360454,0.009738693069597775,25.525418590534944,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,656.4602441811548,2846.9207947694813,0.07900741377185722,0.00014556465798204427,9.864249447591712,0.00011871151537899226,38130.25785712732,5.245217277827213,0.02231980865862403,230.79872090745576,21273.945047542544,655.1831852102584,642.6421231077443,3093461.985286831
35,40.973,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,496.1675384043001,1.0637557117535967,497.2312941160537,25.54490658584337,0.009749302238829822,25.53515728360454,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,657.2312490022553,2842.254523964303,0.07919484497525449,0.00014696584344875882,9.852677593861117,0.0001188509406549151,37766.720575962296,5.274514187646745,0.022370366394337524,229.45157979694926,21199.94600657107,654.66333292992,642.1193945395444,3094171.4696260057
36,42.143,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,495.1026991514572,1.0648392528429071,496.1675384043001,25.554658261907846,0.009751676064476121,25.54490658584337,1.1700000000000017,1.1700000000000017,371.08027468489956,3325.0020179356225,0.000526667590690191,658.0030391685195,2837.5835000977822,0.0793824670959912,0.00014838444106416882,9.841121112772635,0.00011888889351046369,37405.65994610997,5.304108791753341,0.022421236403469456,228.10825470825404,21125.762027652283,654.1472108405391,641.6004165860121,3094875.916116654
37,43.314,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,494.03494607907794,1.0677530723792854,495.1026991514572,25.56442910027201,0.00977083836416582,25.554658261907846,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,658.7769412566147,2832.899694470483,0.07957060262473706,0.00014982319439929727,9.8295601978386,0.00011913045715488755,37046.45309422082,5.334056393163626,0.02247250972573481,226.76644247832397,21051.266230246016,653.6339981551108,641.0843639225725,3095576.444026094
38,44.485,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,492.965180924113,1.0697651549649554,494.03494607907794,25.57421087721438,0.009781776942369947,25.56442910027201,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,659.5523016921076,2828.207062641714,0.0797590926776055,0.0001512812209349496,9.818004704731917,0.00011927067008183654,36689.40473534752,5.364336568154286,0.022524147058450395,225.42728885941827,20976.52202823297,653.124201383784,640.5717458661424,3096272.3610182786
39,45.655,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,491.894312263821,1.0708686602919828,492.965180924113,25.583995332737857,0.00978445552347784,25.57421087721438,1.1700000000000017,1.1700000000000017,371.08027468489956,3325.0020179356225,0.000526667590690191,660.3284619427438,2823.5095901764776,0.07994777716546417,0.0001527575789265023,9.806464470694522,0.00011930905409349217,36334.812208633,5.394927843690416,0.022576107915730025,224.09193064663643,20901.59369190193,652.6183165941817,640.0630612341223,3096962.9888146506
40,46.826,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,490.8204993604999,1.0738129033210888,491.894312263821,25.593799315338227,0.009803982600372291,25.583995332737857,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,661.1067561660064,2818.7992024947694,0.08013698042187838,0.00015425513081030175,9.794919717026547,0.00011955177110481523,35982.06370565158,5.425887491888767,0.022628485388729108,222.75807866447454,20826.35308687528,652.1155442086686,639.5575060278354,3097649.4179388513
41,47.997,50.478,0.0,8.0,0.0,0.07462400705577904,3323.8634504730508,20.932608885661583,90.0,1.0,0.75,1.5,51.978,52.728,2.6287489544064506,0.75,0.8571428571428571,0.004856615700772408,489.7446489732324,1.0758503872674838,490.8204993604999,25.60361457703963,0.00981526170140205,25.593799315338227,1.1709999999999994,1.1709999999999994,371.39743731283465,3325.0020179356225,0.000526667590690191,661.886527147446,2814.079877185982,0.08032654267807399,0.00015577296558133896,9.783380285647295,0.00011969278161638207,35631.45840503157,5.457194511767342,0.022681239434503443,221.4268722218688,20750.864285202777,651.6163858498389,639.0555846503803,3098330.9625331373
